lat,lon,terrane,FeO,TiO2,Al2O3,CaO,MgO,SiO2,K,Th,U,PC1,PC2,PC3,I_FeTi,I_AlCa,I_KREEP,alloy_family,process_route,blend_window,confidence
28.0,-35.0,kreep,26.828000000000003,5.3639,12.072,9.5855,8.294500000000001,40.183,1715.7,5.722,1.5611,4.9738554802591395,-0.042045668411578335,0.20246353504589967,0.6147059219198566,0.3212158561024684,0.37187629118382204,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-33.0,kreep,20.891,2.8188,20.212,7.956399999999999,5.1879,36.634,1890.6,5.3569,1.4614,4.189894645282971,-0.3959545523491311,0.1461860306555448,0.42171543897271696,0.3852797289465446,0.3722519046762654,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-31.0,kreep,22.551,5.1066,4.3969000000000005,17.339,11.844,40.183,2358.2,5.5255,1.5075,5.140830329836404,-0.3623600467128998,-0.7262104809475545,0.5209040386862709,0.3350347920454133,0.422430819281153,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-29.0,kreep,21.561,3.6105,16.894000000000002,0.65525,12.407,36.723,1478.9,5.5043,1.5017,6.131769861556292,2.7733206690987346,0.8704365634734385,0.4653541330620763,0.21982951627650094,0.34078340824285996,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-27.0,kreep,23.061,5.7138,14.31,19.883,6.8174,40.29,2166.9,4.8094,1.312,4.321941863889655,-0.7972781566660643,0.2530617006042623,0.5554386025278151,0.520931388254788,0.37410607391637063,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-25.0,kreep,22.76,5.5773,6.526700000000001,14.214,14.32,40.183,1715.7,5.1729,1.4112,4.846066206564564,0.39644056442604364,-0.14975343236592317,0.5504288864566241,0.3154721050314545,0.34829017334143764,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-23.0,kreep,17.14,4.738,21.004,3.1811,13.761,40.183,1407.8,5.4537,1.4879,4.893416666899101,1.960152900898948,0.9118008698956126,0.4244722189366419,0.3474466381227609,0.3320820244644862,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-21.0,kreep,19.654,6.1871,14.169,10.87,7.0604,40.183,1997.1,4.9486,1.35,4.55218659988423,-0.1729787150111986,0.6193539447809082,0.5117107153304732,0.3724214387530017,0.36449441921369263,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-19.0,kreep,26.158,7.3673,7.6001,8.8552,4.0937,37.023,1818.3,4.9832,1.3594,5.116888858761356,-0.9943025209452531,0.643772798122782,0.6705812812924955,0.21970587994121066,0.3495619744313201,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-17.0,kreep,24.574,5.7911,14.155,16.12,2.2849,40.183,1676.0,4.671,1.2742,3.8798488961854636,-2.10346774995583,0.8055458110138652,0.5925088130107053,0.4570427280805122,0.32308674401703397,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-15.0,kreep,19.0,1.4956,15.573999999999998,10.826,11.045,43.418,1931.3,5.0053,1.3655,3.567202290423346,0.2005425494482902,-0.9072439189370252,0.34416587620733824,0.3731922071578854,0.36088890479283864,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-13.0,kreep,22.325,6.73,2.9049,7.7533,16.977999999999998,40.183,1957.4,6.3864,1.7425,6.053480895828283,0.7435573797496194,-0.4993386362083053,0.573539728685038,0.15849175902395202,0.42260841275408195,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-11.0,kreep,17.458000000000002,6.873899999999999,14.951,12.506999999999998,0.87168,40.084,2957.0,6.43,1.7544,4.544655494064572,-3.571301828555766,0.7886417532711455,0.4767473475404099,0.4094503982064539,0.5162633413451468,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-9.0,kreep,20.538,2.9539,25.021,12.656,12.614,40.183,2652.3,6.9475,1.8957,4.787160906412988,0.2466552676874867,-0.6422843139202952,0.4039058360994185,0.5588665532161503,0.5105157150736785,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-7.0,kreep,15.5,3.1891000000000003,16.255,12.932,6.814000000000001,46.445,2592.7,7.7656,2.119,4.464958565715763,-0.7746614342891222,-0.6090361891674235,0.3190049157535529,0.3933795464731068,0.5401829898811197,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-5.0,kreep,20.052,2.5751,9.3631,15.841,18.029,40.183,2531.4,7.9532,2.1702,5.1189844111708975,0.2619536672081962,-1.5206543585182632,0.3807261284886658,0.382948766676874,0.5426122662865601,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-3.0,kreep,17.094,0.8187699999999999,10.105,19.42,14.344,39.811,2864.2,7.9895,2.1801,4.145530724274417,-0.43469742437140013,-2.685369435330317,0.2641533742866843,0.44863238198295236,0.5747285398632646,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,-1.0,kreep,12.637,0.53637,29.844,6.814099999999999,17.122999999999998,37.199,2488.3,7.5842,2.0695,3.699604130148378,1.1574178309422782,-1.9508704538770958,0.1810155580834425,0.5111247724761278,0.5228058663308369,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,1.0,kreep,11.536,1.0862,18.784,12.439,11.233,45.911,3127.4,6.8324,1.8642,3.6747454219162896,-0.13870545843091056,-1.664952427863785,0.173301636145139,0.4263253122326358,0.5491923952193342,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,3.0,kreep,16.053,1.334,10.593,18.943,12.788,40.432,2958.1,6.5129,1.777,4.0916603710997785,-0.3897253970450726,-1.9072174475611223,0.2663658917033973,0.4528800321463494,0.5199242631650334,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,5.0,kreep,15.323,3.6333,16.414,18.094,2.1937,43.826,2554.4,5.7591,1.5712,3.5604838014509648,-2.4480333100904397,0.10795408654142999,0.3380542540038842,0.4996216023614386,0.45047754747097174,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,7.0,kreep,12.909,1.1888,24.417,12.156,16.422,40.183,1946.3,5.0437,1.3759,3.024044857646883,1.0173240541832187,-0.8356174170957522,0.22387068205700583,0.542016963509103,0.3639130189518551,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,9.0,kreep,22.038,3.2759000000000005,14.31,19.247,2.6922,46.228,2161.4,4.7384,1.2926,3.4468803373281327,-2.2985522325777064,-0.05742156330198295,0.4560189134925594,0.4688679298583791,0.37055077342524406,HEA / functional RHEA layers,Graded/coating,0.3,low
28.0,11.0,mare,14.968,2.2487,11.09,20.661,4.8064,44.659,1826.7,2.9158,0.79502,2.4898609196242543,-1.2415548089901014,-0.12135702792179291,0.30527185297844633,0.4752153846195031,0.2615299922562671,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,13.0,mare,13.35,1.7946,4.1815,10.814,12.548,50.394000000000005,1357.4,2.451,0.66813,2.786781338304549,0.41212253430815604,-0.6592922193049895,0.2690402695466239,0.1708374865408472,0.19847418110696177,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,15.0,mare,21.117,2.2797,15.519,8.947,13.847,45.035,1134.1,2.2531,0.6141,3.0968273647289983,1.0694476326616809,0.15764634917079604,0.42889091762699794,0.3473203036622643,0.16947023658495244,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,17.0,mare,15.831,3.4394,18.832,7.389900000000001,5.0725,35.709999999999994,1227.9,2.5245,0.6882,3.1639634196723128,0.16202559046572207,1.1859965317414891,0.3701231167968886,0.33088210193847173,0.18974091823230224,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,19.0,mare,20.354,2.9961,9.194,14.922,2.5068,37.355,1188.5,1.7457,0.47557,2.6470195981183124,-1.7085242667778173,0.6781395582399842,0.4400344970258949,0.32551453978239225,0.152669822865698,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,21.0,mare,21.55,2.2751,8.473,15.174,8.1004,44.976,1574.0,1.7267,0.47039,2.9283810205203213,-0.3775825579046358,-0.23136858458796003,0.43228781691442575,0.34607353058268864,0.1872501085196322,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,23.0,mare,14.933,1.5972,18.057,10.033,6.6689,41.333,831.07,1.8378,0.50071,1.9751453459751513,0.2494374274300641,0.4480065555300915,0.3003289726230093,0.40641129995299796,0.12380697669029708,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,25.0,mare,16.27,4.0569,13.165,10.567,6.7893,42.074,850.15,1.2248,0.33337,2.631963849109372,0.30376619861829635,1.2577681522497672,0.40829559921984976,0.34980811966590547,0.09922812675346057,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,27.0,mare,17.919999999999998,5.2503,16.289,14.922,13.425,35.779,612.4,1.915,0.52178,3.0342037135515887,1.2502680751212552,1.3314892520551387,0.478724954438746,0.41619114945328706,0.1070448329412785,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,29.0,mare,13.283,2.4951,19.979,9.3186,8.6874,40.814,1107.5,1.6645,0.45339,2.384681283227799,0.8007965474623002,0.888731527951643,0.29734151731248154,0.41871079951743345,0.1417442029533981,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,31.0,mare,14.095,0.6810700000000001,12.83,14.922,8.1004,48.746,1188.3,2.2795,0.62131,1.373827705667572,-0.25240526167917604,-0.9916939405664367,0.2482396751024734,0.3757195981490097,0.17558090665222426,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,33.0,highlands,10.998,0.28972,27.609,11.417,12.349,36.209,748.09,2.2576,0.61533,0.67181107631032,1.0800807911143415,-1.1113984082959758,0.18553550526654383,0.5169866376710398,0.13422055217229592,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,35.0,highlands,9.6986,0.1079099999999999,27.222,13.852999999999998,13.283,39.794,1082.2,2.358,0.64274,-0.1199305805121387,0.7347347078645267,-2.3119940066132436,0.1511174249533805,0.5788282074213121,0.1692108213930035,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,37.0,mare,9.7725,1.6239,8.3309,18.726000000000003,6.4004,50.06699999999999,1366.1,2.763,0.7533,1.6799352657563449,-0.6386590862081887,-0.2609316247977379,0.1977094738416483,0.3614915406494027,0.21267458533158942,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,39.0,highlands,7.500199999999999,0.88052,17.788999999999998,17.079,11.272,45.598,1013.0,2.6901,0.7334,0.8827176959476214,0.6576279578771732,-0.3236640119476069,0.1370958334114434,0.5175897540650267,0.17712199885062416,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,41.0,highlands,5.7683,0.1359,35.671,15.654000000000002,7.9072,38.969,918.02,2.3372,0.63705,-0.9042154334029775,0.3399734613894151,-1.4703693587247946,0.08358279002114331,0.7241530530046556,0.15324217269713794,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,43.0,highlands,4.8053,1.2775999999999998,28.071,11.599,11.154,45.349,975.11,2.4295,0.66224,0.7014168910323008,1.383154516739596,0.6907982823345894,0.10321071045378814,0.5803122228046259,0.1624485567737676,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,45.0,mare,8.7555,0.6443800000000001,16.797,13.763,11.185,46.603,727.9,1.7585,0.47906,0.605237935445642,0.7730701019667039,-0.4526585584336636,0.1589609242639072,0.4313998004479833,0.11092769996781238,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,47.0,highlands,6.5858,0.21841,16.789,11.728,16.512999999999998,43.236,895.61,2.2454,0.61199,0.08551238665418423,1.354047913621985,-1.5760730435993449,0.10168538029394639,0.4199722534734895,0.14724134186153168,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,49.0,highlands,6.541,1.1921,28.868,13.97,11.669,37.127,704.41,1.4788,0.40272,0.7202770464098698,1.4391415154993306,0.7261137707668813,0.13862136516923698,0.5837145463516041,0.0967571011582117,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,51.0,highlands,5.9325,1.5934,16.756999999999998,20.45,12.557,39.832,496.31,1.6688,0.45459,0.6313130460040699,1.2062072408755733,0.7060200044228947,0.14325751049833316,0.5337455182007322,0.08581091446108224,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,53.0,highlands,6.2695,0.50139,17.729,19.617,9.2751,44.767,752.58,1.122,0.30531,-0.2925401587458056,0.43430700246213694,-0.44046516244220063,0.11125601084067821,0.5642392996730361,0.08585378107451999,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,55.0,highlands,7.0951,0.3978399999999999,21.076,14.72,11.221,41.011,417.3,1.4213,0.38701,-0.15761263877543988,1.007720004362966,-0.5183246083115737,0.12626404035274197,0.5131265864798836,0.06792469674506457,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,57.0,highlands,6.5597,1.0938,19.01,18.474,9.4812,40.52,187.2,1.3414,0.3652,0.15347106184750609,0.8858833971004254,0.5968725170404617,0.1432752432251703,0.5399295962895152,0.04336518980072309,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,59.0,highlands,7.3273,0.50139,22.805,14.918,5.4841,46.651,699.88,1.1428,0.31099,-0.2831641264021405,-0.14188862313372688,-0.17659996159277813,0.13096569643344902,0.547260301092834,0.08190842487444874,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,61.0,highlands,6.459099999999999,0.12595,32.297,13.689000000000002,8.3664,36.694,642.85,1.2082,0.32885,-1.0306109349836199,0.6117165929671772,-1.3380242893997194,0.10336456577065814,0.6255747501819031,0.07948139046526484,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,63.0,highlands,9.105,0.25125,16.968,14.356,6.6208,50.042,463.04,0.98384,0.26759,-0.5828413488945625,-0.14557107350675627,-1.1032478783902624,0.15845470085489108,0.4268352889114902,0.053333876264994494,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,65.0,mare,8.2104,1.1473,5.0797,19.217,13.411,48.625,120.76,1.1771,0.32035,0.6735224857673947,0.758214031592081,-0.25501176576621887,0.17627518031154218,0.3335158179967199,0.03020745705594264,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,67.0,mare,9.3042,1.1698,19.607,14.048,6.7941,47.412,664.8,1.0332,0.28106,0.6351371222078557,0.22218028893005143,0.46251254599729563,0.18973097230043473,0.4704685566771695,0.07397932651775474,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,69.0,mare,8.338,0.77006,17.965999999999998,13.0,10.955,43.278,584.6,1.2617,0.34344,0.5781474185401169,0.9895446650785289,-0.029950704842975167,0.15931263514272428,0.46211241534672454,0.07643050947238242,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,71.0,highlands,8.1167,0.0448239999999999,25.106,11.885,7.7155,45.45,516.94,1.0338,0.28124,-1.6857801474672889,0.09797608442572377,-2.5903670292103205,0.13285241360317104,0.5410848074366044,0.06042926150898945,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,73.0,highlands,5.4382,0.50139,15.903,19.742,0.52217,44.119,671.41,1.296,0.35282,-1.3474522130462652,-3.6692657796818655,0.4151361247581619,0.09680089631192583,0.5435106596418767,0.08587515313521832,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,75.0,highlands,4.4473,0.1606199999999999,17.180999999999997,17.06,16.683999999999997,42.373,234.25,0.73836,0.20057,-1.4275155190244164,1.5315258950358224,-1.2817315415996835,0.07552221636878802,0.5050491395160324,0.021782055361500567,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,77.0,highlands,5.8313,0.65605,22.038,9.4869,2.0208,53.901,602.51,0.88805,0.24144,-0.6265908048610201,-1.162186848831371,0.6359962804373887,0.11139139953894274,0.3915388132510773,0.0620252833424547,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,79.0,highlands,4.8526,0.50139,18.664,14.674,11.472,47.679,510.37,1.0257,0.27901,-0.5357482610688118,1.123880164647858,-0.1730453278435564,0.08939864687614832,0.47512546306923314,0.05947749211905278,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,81.0,highlands,4.2796,0.50139,22.796,12.893,13.358999999999998,42.901,31.012,0.8864,0.24099,-0.7739930394186674,1.7840030345680729,0.23132598742122404,0.08615735939120979,0.5234005264029,0.009480086159109433,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,83.0,highlands,7.244000000000001,1.1015,7.8097,17.213,5.614,44.119,610.24,0.89173,0.24244,0.46569915170211595,-0.2917259783502948,0.15779710233077754,0.1515778711299958,0.38512163274488465,0.0628929698166713,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,85.0,highlands,6.5471,1.0121,22.013,14.252,3.31,48.848,909.88,0.70898,0.19255,-0.0766736453998131,-0.7233368731663634,0.710214606779244,0.1325431810519474,0.5077762852083225,0.08255570454441744,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,87.0,highlands,7.1111,0.34629,20.545,9.4359,3.008,44.119,644.74,0.93023,0.25295,-0.45354580080763685,-0.696441294986916,-0.21517386773553163,0.1233879076324131,0.4444036803445266,0.06771445112025104,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,89.0,highlands,5.617500000000001,0.31912,37.478,14.262,6.1369,41.024,372.37,0.6652,0.1806,-1.1020471202276498,0.46067808014649714,-0.02090764229764232,0.10023786351717111,0.744012132476845,0.03132162787987892,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,91.0,highlands,7.4994,0.10683,35.011,11.456,3.8754,38.794,844.35,0.9017,0.24517,-1.1732337021502612,-0.5321548425867659,-1.3317612435023012,0.11974495111269089,0.6453696003247539,0.08481721319479463,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,93.0,highlands,4.9596,0.72142,28.892,17.115,9.6571,36.483,0.0,1.2928,0.35193,-0.49791310653468884,1.2816824784411533,0.6662394349518752,0.10477619225103504,0.6298287172145148,0.02408903315609192,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,95.0,highlands,6.4924,0.68756,23.469,16.657,5.8361,44.029,431.96,0.66772,0.18129,-0.43699720406542714,0.14632093707413174,0.3749608532570219,0.12745756485075377,0.6028311635429102,0.03690142735037586,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,97.0,highlands,6.585100000000001,0.7596,20.205,21.033,2.8088,41.696,814.03,0.92005,0.25017,-0.3765526271666033,-1.1997480687556528,0.37819923385011583,0.12540093741830877,0.6078475265538186,0.0828211755891394,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,99.0,highlands,7.483099999999999,0.73111,30.604,14.618999999999998,6.949199999999999,36.068,634.1,0.89316,0.24283,0.17397797648539326,0.589292610222277,0.4438099536591352,0.14319794057515897,0.6111085060896245,0.06514518205803005,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,101.0,highlands,8.9794,0.45414,20.309,18.375,9.9979,38.34,276.83,0.55193,0.14968,-0.18461768684401864,0.7220717177390243,-0.3473407441676164,0.16700791728519862,0.540104602160241,0.01768388903418352,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,103.0,mare,8.12,1.8666,19.206,21.68,1.6046999999999998,41.947,702.25,0.56572,0.15344,0.11757517502011722,-1.9212099000979366,1.4018862591742847,0.19272956089405777,0.6160911241852809,0.05733769355474321,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,105.0,mare,8.5679,1.0831,10.504,16.012999999999998,8.9464,46.833000000000006,400.08,0.69168,0.18783,0.5080666322413716,0.4682970793708502,0.16649859093405897,0.178395004333988,0.3745656856814251,0.03500339285762232,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,107.0,highlands,6.4745,0.53905,23.648,18.85,6.1369,47.484,859.2,0.53013,0.14372,-0.5487575226340454,-0.08605638309118858,-0.08841512796169386,0.11677037251369486,0.6165017156444783,0.07021980483950066,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,109.0,highlands,5.5781,0.42706,26.799,12.03,6.550400000000001,47.685,412.8,0.8064,0.21915,-0.7797595727405001,0.5094204084249745,0.048714375705141734,0.10208617157204487,0.5504925094498242,0.041099102123751875,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,111.0,highlands,6.016500000000001,0.50139,25.558,19.653,11.244,38.685,95.517,1.0371,0.28213,-0.6102903793618231,1.143153607780633,0.02585667523996725,0.11603980701850168,0.6396817591004861,0.021876057737616618,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,113.0,mare,8.2663,0.5427000000000001,19.539,14.922,1.7295999999999998,39.975,756.7,0.42507,0.11504,-0.3951079724184637,-1.7602350910755453,0.24066229646935225,0.15094254117653122,0.49627886311526676,0.05629561987169459,Ni-superalloy / RHEA,DED + hybrid,0.7,medium
28.0,115.0,highlands,3.7354,1.5329000000000002,28.611,10.813,5.1044,46.548,324.64,0.72442,0.19677,-0.3986115344031408,0.7423505755677091,1.7629780825118164,0.10727042750546364,0.5660554788101975,0.0294829614426707,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
28.0,117.0,highlands,4.9961,1.1215,28.155,16.732,4.4846,41.951,518.94,0.42969,0.11631,-0.4754606924232494,0.06582416576787309,1.2040733584387295,0.11459617663812549,0.6558017964504204,0.034663474649798014,HEA / Ni-superalloy,PM + SLM/DED,0.5,medium
